model,point,objective,yaml,output_prefix,fixed_params,source_minuslogpost_if_map,source_chi2_if_map
deu,map,posterior_profile,audit_full_plik_nuisance_profile/20260510T233506Z/deu_full_map_posterior_profile.yaml,audit_full_plik_nuisance_profile/20260510T233506Z/deu_full_map_posterior_profile,"{""A_planck"": 1.0250579, ""deu_damping_envelope_beta"": 0.029595717, ""deu_transfer_polamp_p_vis"": 1.0473467, ""n_s"": 0.98118992, ""omega_b"": 0.021959556}",572.83932,1207.3784
deu,map,likelihood_profile,audit_full_plik_nuisance_profile/20260510T233506Z/deu_full_map_likelihood_profile.yaml,audit_full_plik_nuisance_profile/20260510T233506Z/deu_full_map_likelihood_profile,"{""A_planck"": 1.0250579, ""deu_damping_envelope_beta"": 0.029595717, ""deu_transfer_polamp_p_vis"": 1.0473467, ""n_s"": 0.98118992, ""omega_b"": 0.021959556}",572.83932,1207.3784
deu,mean,posterior_profile,audit_full_plik_nuisance_profile/20260510T233506Z/deu_full_mean_posterior_profile.yaml,audit_full_plik_nuisance_profile/20260510T233506Z/deu_full_mean_posterior_profile,"{""A_planck"": 1.025055724379812, ""deu_damping_envelope_beta"": 0.029491217248075276, ""deu_transfer_polamp_p_vis"": 1.0474182267750216, ""n_s"": 0.9815232201591104, ""omega_b"": 0.021980020954662106}",,
deu,mean,likelihood_profile,audit_full_plik_nuisance_profile/20260510T233506Z/deu_full_mean_likelihood_profile.yaml,audit_full_plik_nuisance_profile/20260510T233506Z/deu_full_mean_likelihood_profile,"{""A_planck"": 1.025055724379812, ""deu_damping_envelope_beta"": 0.029491217248075276, ""deu_transfer_polamp_p_vis"": 1.0474182267750216, ""n_s"": 0.9815232201591104, ""omega_b"": 0.021980020954662106}",,
native,map,posterior_profile,audit_full_plik_nuisance_profile/20260510T233506Z/native_full_map_posterior_profile.yaml,audit_full_plik_nuisance_profile/20260510T233506Z/native_full_map_posterior_profile,"{""A_planck"": 1.0200026, ""n_s"": 0.98249758, ""omega_b"": 0.021903315}",729.84925,1498.3724
native,map,likelihood_profile,audit_full_plik_nuisance_profile/20260510T233506Z/native_full_map_likelihood_profile.yaml,audit_full_plik_nuisance_profile/20260510T233506Z/native_full_map_likelihood_profile,"{""A_planck"": 1.0200026, ""n_s"": 0.98249758, ""omega_b"": 0.021903315}",729.84925,1498.3724
native,mean,posterior_profile,audit_full_plik_nuisance_profile/20260510T233506Z/native_full_mean_posterior_profile.yaml,audit_full_plik_nuisance_profile/20260510T233506Z/native_full_mean_posterior_profile,"{""A_planck"": 1.0200422931369661, ""n_s"": 0.9817776301030928, ""omega_b"": 0.021934116700883653}",,
native,mean,likelihood_profile,audit_full_plik_nuisance_profile/20260510T233506Z/native_full_mean_likelihood_profile.yaml,audit_full_plik_nuisance_profile/20260510T233506Z/native_full_mean_likelihood_profile,"{""A_planck"": 1.0200422931369661, ""n_s"": 0.9817776301030928, ""omega_b"": 0.021934116700883653}",,
