pair,method,group_a,group_b,logZ_a,logZ_b,logBF_a_minus_b,abs_logBF,minuslogpost_min_a,minuslogpost_min_b,map_logpost_gap_a_minus_b,null_label,iteration
native_combined_random_split_perm007,diagonal_covariance_laplace,native_combined_random_split_perm007_A,native_combined_random_split_perm007_B,-754.8502756342095,-753.8766637322927,-0.9736119019167973,0.9736119019167973,729.9268,729.84925,-0.0775499999999738,native_combined_random_split,7
native_combined_random_split_perm007,iqr_diagonal_laplace,native_combined_random_split_perm007_A,native_combined_random_split_perm007_B,-755.4023234093237,-755.3659413243106,-0.03638208501308782,0.03638208501308782,729.9268,729.84925,-0.0775499999999738,native_combined_random_split,7
native_combined_random_split_perm008,full_covariance_laplace,native_combined_random_split_perm008_A,native_combined_random_split_perm008_B,-754.3548435568846,-754.0207351559637,-0.33410840092085436,0.33410840092085436,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,8
native_combined_random_split_perm008,diagonal_covariance_laplace,native_combined_random_split_perm008_A,native_combined_random_split_perm008_B,-754.3539252570453,-754.0193516558791,-0.3345736011661984,0.3345736011661984,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,8
native_combined_random_split_perm008,iqr_diagonal_laplace,native_combined_random_split_perm008_A,native_combined_random_split_perm008_B,-755.4606168227903,-755.3213924309574,-0.1392243918328404,0.1392243918328404,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,8
native_combined_random_split_perm009,full_covariance_laplace,native_combined_random_split_perm009_A,native_combined_random_split_perm009_B,-754.2304920865271,-754.1422879800017,-0.08820410652538158,0.08820410652538158,729.84925,729.91096,0.06171000000006188,native_combined_random_split,9
native_combined_random_split_perm009,diagonal_covariance_laplace,native_combined_random_split_perm009_A,native_combined_random_split_perm009_B,-754.2299173940144,-754.1406662627206,-0.08925113129373585,0.08925113129373585,729.84925,729.91096,0.06171000000006188,native_combined_random_split,9
native_combined_random_split_perm009,iqr_diagonal_laplace,native_combined_random_split_perm009_A,native_combined_random_split_perm009_B,-755.357343862832,-755.4196757945107,0.062331931678727415,0.062331931678727415,729.84925,729.91096,0.06171000000006188,native_combined_random_split,9
native_combined_random_split_perm010,full_covariance_laplace,native_combined_random_split_perm010_A,native_combined_random_split_perm010_B,-754.0895457356312,-754.2794564132703,0.18991067763909086,0.18991067763909086,729.84925,729.91096,0.06171000000006188,native_combined_random_split,10
native_combined_random_split_perm010,diagonal_covariance_laplace,native_combined_random_split_perm010_A,native_combined_random_split_perm010_B,-754.0890654751615,-754.276676660354,0.18761118519250886,0.18761118519250886,729.84925,729.91096,0.06171000000006188,native_combined_random_split,10
