pair,method,group_a,group_b,logZ_a,logZ_b,logBF_a_minus_b,abs_logBF,minuslogpost_min_a,minuslogpost_min_b,map_logpost_gap_a_minus_b
native_A_minus_native_B,full_covariance_laplace,native_chain_A,native_chain_B,-754.4369985762276,-754.0207901059641,-0.41620847026342744,0.41620847026342744,729.97341,729.84925,-0.12415999999996075
native_A_minus_native_B,diagonal_covariance_laplace,native_chain_A,native_chain_B,-754.4360886483475,-754.0179934087972,-0.41809523955032546,0.41809523955032546,729.97341,729.84925,-0.12415999999996075
native_A_minus_native_B,iqr_diagonal_laplace,native_chain_A,native_chain_B,-755.571752282804,-755.311904521329,-0.2598477614750436,0.2598477614750436,729.97341,729.84925,-0.12415999999996075
deu_A_minus_deu_B,full_covariance_laplace,deu_chain_A,deu_chain_B,-606.946678250354,-606.9232888020273,-0.02338944832672496,0.02338944832672496,572.83932,572.86331,0.02398999999991247
deu_A_minus_deu_B,diagonal_covariance_laplace,deu_chain_A,deu_chain_B,-606.8827616425947,-606.8590057534482,-0.023755889146514164,0.023755889146514164,572.83932,572.86331,0.02398999999991247
deu_A_minus_deu_B,iqr_diagonal_laplace,deu_chain_A,deu_chain_B,-606.4627979842094,-606.3386913537753,-0.12410663043408476,0.12410663043408476,572.83932,572.86331,0.02398999999991247
deu_combined_minus_native_combined,full_covariance_laplace,deu_combined,native_combined,-606.8986150731212,-754.1497366512981,147.25112157817694,147.25112157817694,572.83932,729.84925,157.00992999999994
deu_combined_minus_native_combined,diagonal_covariance_laplace,deu_combined,native_combined,-606.8378758762412,-754.1487607419892,147.310884865748,147.310884865748,572.83932,729.84925,157.00992999999994
deu_combined_minus_native_combined,iqr_diagonal_laplace,deu_combined,native_combined,-606.3411580822061,-755.3709113486851,149.02975326647902,149.02975326647902,572.83932,729.84925,157.00992999999994
