parameter,display_name,mean,sd,q16,median,q84,working_lock_value,claim_status,claim_caveat
deu_damping_envelope_beta,beta,0.02949121724807528,0.0005524725209021037,0.028849905,0.029503285,0.030128599,0.03,caveated_internal_posterior_summary_allowed,Use as Stage 3B production posterior summary only; not final external model-comparison evidence.
deu_transfer_polamp_p_vis,p_vis,1.0474182267750214,0.001318023057604206,1.0459375,1.0473475,1.048932,1.0475,caveated_internal_posterior_summary_allowed,Use as Stage 3B production posterior summary only; not final external model-comparison evidence.
omega_b,omega_b,0.021980020954662106,4.953628242491131e-05,0.021927323,0.021972856,0.0220347,0.022,caveated_internal_posterior_summary_allowed,Use as Stage 3B production posterior summary only; not final external model-comparison evidence.
n_s,n_s,0.9815232201591104,0.0005680687805706126,0.98086835,0.9815207,0.98217567,0.981875,caveated_internal_posterior_summary_allowed,Use as Stage 3B production posterior summary only; not final external model-comparison evidence.
A_planck,A_planck,1.0250557243798117,0.0008464612795648388,1.0242044,1.0250715,1.0259026,1.025,caveated_internal_posterior_summary_allowed,Use as Stage 3B production posterior summary only; not final external model-comparison evidence.
