parameter,n_values,min,max,mean,span,unique_rounded_12,motion_recorded,prior_min,prior_max,within_prior
deu_damping_envelope_beta,64,0.028512121,0.030464961,0.029394898015625,0.0019528399999999974,38,True,0.0285,0.0305,True
deu_transfer_polamp_p_vis,64,1.0470202,1.0499573,1.049123375,0.002937100000000026,38,True,1.045,1.05,True
omega_b,64,0.021909139,0.022098692,0.02198975803125,0.00018955299999999856,38,True,0.0219,0.0221,True
n_s,64,0.98065248,0.98217297,0.98129172,0.0015204899999999855,38,True,0.9805,0.9825,True
A_planck,64,1.0237373,1.0268795,1.025494140625,0.003142199999999873,34,True,1.02,1.03,True
