parameter,n_values,min,max,mean,span,unique_rounded_12,motion_recorded,prior_min,prior_max,within_prior
omega_b,2000,0.021900159,0.022055275,0.021934925246,0.00015511600000000028,580,True,0.0219,0.0221,True
n_s,2000,0.98050073,0.98249963,0.981769417185,0.0019988999999999146,580,True,0.9805,0.9825,True
A_planck,2000,1.02,1.0245428,1.02004877335,0.004542800000000069,927,True,1.02,1.03,True
