lineage_item,value,scope
proxy/formal log-BF lineage,158.76404705020616,internal lineage context
formal cross-check log-BF,158.76404705020616,internal formal cross-check
independent-validation DEU log evidence,-542.2974790661433,internal independent-validation
independent-validation native log evidence,-711.3038876870044,internal independent-validation
independent-validation log-BF DEU-native,169.00640862086107,internal independent-validation
