parameter,display_name,n_values,weighted_mean,weighted_sd,q025,q160,q500,q840,q975,min,max,prior_min,prior_max,within_prior_minmax
omega_b,omega_b,4000,0.021934116700883653,2.8648401127727596e-05,0.021901227,0.021907334,0.02192558,0.021965164,0.022004661,0.021900159,0.022056177,0.0219,0.0221,True
n_s,n_s,4000,0.9817776301030928,0.000515600514952671,0.98069323,0.98117982,0.98186963,0.98230608,0.98247019,0.98050073,0.98249963,0.9805,0.9825,True
A_planck,A_planck,4000,1.0200422931369661,0.00012027435537001794,1.0200007,1.0200057,1.0200261,1.02007,1.0201416,1.02,1.0250552,1.02,1.03,True
