quantity,value,estimator_id,estimator_kind,claim_status,direction,formal_bayes_factor_claim_allowed,model_superiority_claim_allowed
deu_log_evidence_proxy,-576.0487181192134,laplace_chain_local_proxy,diagnostic_proxy_not_final_evidence,diagnostic_proxy_only_not_formal_evidence,,,
native_log_evidence_proxy,-734.8127651694195,laplace_chain_local_proxy,diagnostic_proxy_not_final_evidence,diagnostic_proxy_only_not_formal_evidence,,,
log_bayes_factor_proxy_deu_minus_native,158.76404705020616,laplace_chain_local_proxy,diagnostic_proxy_not_final_evidence,proxy_result_may_be_reported_only_with_proxy_caveat,positive_for_deu,False,False
