display_name,max,mean_minus_working_lock,median_minus_working_lock,min,n_values,parameter,prior_max,prior_min,q025,q160,q500,q840,q975,weighted_mean,weighted_sd,within_prior_minmax,working_lock_value
beta,0.030499613,-0.0005087827519247197,-0.0004967149999999983,0.028503605,4000,deu_damping_envelope_beta,0.0305,0.0285,0.028567552,0.028849905,0.029503285,0.030128599,0.030423268,0.02949121724807528,0.0005524725209021037,True,0.03
p_vis,1.0499778,-8.177322497870954e-05,-0.00015249999999999986,1.0450006,4000,deu_transfer_polamp_p_vis,1.05,1.045,1.0452071,1.0459375,1.0473475,1.048932,1.0498123,1.0474182267750214,0.001318023057604206,True,1.0475
omega_b,0.022099565,-1.9979045337892992e-05,-2.714399999999978e-05,0.021900233,4000,omega_b,0.0221,0.0219,0.021905925,0.021927323,0.021972856,0.0220347,0.022084005,0.021980020954662106,4.953628242491131e-05,True,0.022
n_s,0.98249805,-0.0003517798408896322,-0.0003543000000000296,0.98050506,4000,n_s,0.9825,0.9805,0.98056612,0.98086835,0.9815207,0.98217567,0.98247175,0.9815232201591104,0.0005680687805706126,True,0.981875
A_planck,1.028335,5.572437981182787e-05,7.150000000000212e-05,1.0223195,4000,A_planck,1.03,1.02,1.0233787,1.0242044,1.0250715,1.0259026,1.0267361,1.0250557243798117,0.0008464612795648388,True,1.025
