parameter,n_first,n_second,first_half_mean,second_half_mean,overall_std,normalized_tail_shift,max_allowed_normalized_tail_shift,gate_pass
omega_b,2000,2000,0.021934925246,0.0219356372055,2.8961341293492727e-05,0.024583098302864727,8.0,True
n_s,2000,2000,0.981769417185,0.981755582975,0.0005136274317450871,0.02693432855212772,8.0,True
A_planck,2000,2000,1.02004877335,1.0200572016,0.0001488684213570623,0.056615432091532636,8.0,True
