parameter,n_first,n_second,first_half_mean,second_half_mean,overall_std,normalized_tail_shift,max_allowed_normalized_tail_shift,gate_pass
omega_b,1000,1000,0.021936335289,0.021933515203,2.929694450513829e-05,0.09625870709844106,8.0,True
n_s,1000,1000,0.9816744412,0.98186439317,0.0004955388668865685,0.38332405930817987,8.0,True
A_planck,1000,1000,1.0200513221,1.0200462246,0.00013495669883358075,0.03777137440500245,8.0,True
