parameter,n_values,min,max,mean,span,unique_rounded_12,motion_recorded,prior_min,prior_max,within_prior
deu_damping_envelope_beta,384,0.028501701,0.030474856,0.029546056408854163,0.0019731550000000007,224,True,0.0285,0.0305,True
deu_transfer_polamp_p_vis,384,1.0450959,1.049898,1.04783100078125,0.004802100000000031,223,True,1.045,1.05,True
omega_b,384,0.021904263,0.022099926,0.0219941398515625,0.0001956629999999987,224,True,0.0219,0.0221,True
n_s,384,0.98052036,0.98249245,0.981624463359375,0.001972089999999982,224,True,0.9805,0.9825,True
A_planck,384,1.0220693,1.0273554,1.0251183713541667,0.00528609999999996,224,True,1.02,1.03,True
