family,status,estimator_id,estimator_kind,n_rows,n_parameters,parameters,minuslogpost_min,max_logposterior,log_prior_volume,cov_logdet,cov_jitter_added,log_evidence_proxy,best_row_index_zero_based,best_row_parameter_values,notes,chain_file,chain_index
deu,success,laplace_chain_local_proxy,diagnostic_proxy_not_final_evidence,2000,5,"[""deu_damping_envelope_beta"", ""deu_transfer_polamp_p_vis"", ""omega_b"", ""n_s"", ""A_planck""]",572.83932,-572.83932,-30.84989694079671,-77.40410180528251,6.056411313771223e-17,-576.0967812958213,1681,"{""A_planck"": 1.0250579, ""deu_damping_envelope_beta"": 0.029595717, ""deu_transfer_polamp_p_vis"": 1.0473467, ""n_s"": 0.98118992, ""omega_b"": 0.021959556}","Laplace proxy from posterior chain covariance and best chain log posterior. This is an execution checkpoint diagnostic, not a final evidence/Bayes-factor claim.",/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,1
deu,success,laplace_chain_local_proxy,diagnostic_proxy_not_final_evidence,2000,5,"[""deu_damping_envelope_beta"", ""deu_transfer_polamp_p_vis"", ""omega_b"", ""n_s"", ""A_planck""]",572.86331,-572.86331,-30.84989694079671,-77.3093429105619,6.190371381448779e-17,-576.0733918484609,1665,"{""A_planck"": 1.0250023, ""deu_damping_envelope_beta"": 0.0296942, ""deu_transfer_polamp_p_vis"": 1.0473113, ""n_s"": 0.98088114, ""omega_b"": 0.021962874}","Laplace proxy from posterior chain covariance and best chain log posterior. This is an execution checkpoint diagnostic, not a final evidence/Bayes-factor claim.",/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,2
native,success,laplace_chain_local_proxy,diagnostic_proxy_not_final_evidence,2000,3,"[""omega_b"", ""n_s"", ""A_planck""]",729.97341,-729.97341,-19.336971475826505,-54.44080834045858,8.578299838960411e-18,-735.1000270947886,1515,"{""A_planck"": 1.0200043, ""n_s"": 0.98239807, ""omega_b"": 0.021904256}","Laplace proxy from posterior chain covariance and best chain log posterior. This is an execution checkpoint diagnostic, not a final evidence/Bayes-factor claim.",/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,1
native,success,laplace_chain_local_proxy,diagnostic_proxy_not_final_evidence,2000,3,"[""omega_b"", ""n_s"", ""A_planck""]",729.84925,-729.84925,-19.336971475826505,-53.856711398125114,1.0128909040098435e-17,-734.683818623622,355,"{""A_planck"": 1.0200026, ""n_s"": 0.98249758, ""omega_b"": 0.021903315}","Laplace proxy from posterior chain covariance and best chain log posterior. This is an execution checkpoint diagnostic, not a final evidence/Bayes-factor claim.",/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,2
