check,value,threshold,pass,interpretation
deu_per_chain_logZ_proxy_range,0.02338944736038684,12.0,True,stability diagnostic only; does not validate final evidence
deu_family_logZ_proxy_finite,-576.0487181192134,,True,family-level proxy finite
native_per_chain_logZ_proxy_range,0.41620847116666937,12.0,True,stability diagnostic only; does not validate final evidence
native_family_logZ_proxy_finite,-734.8127651694195,,True,family-level proxy finite
log_bayes_factor_proxy_finite,158.76404705020616,1000.0,True,proxy finite and not absurdly large; not a Bayes-factor claim
