family,n_rows,minuslogpost_found,minuslogpost_min,minuslogpost_median,minuslogpost_max,max_logposterior,deu_damping_envelope_beta__mean,deu_damping_envelope_beta__q50,deu_transfer_polamp_p_vis__mean,deu_transfer_polamp_p_vis__q50,omega_b__mean,omega_b__q50,n_s__mean,n_s__q50,A_planck__mean,A_planck__q50
deu,4000,True,572.83932,573.6872,581.07629,-572.83932,0.02949121724807528,0.029503285,1.0474182267750214,1.0473475,0.021980020954662106,0.021972856,0.9815232201591104,0.9815207,1.0250557243798117,1.0250715
native,4000,True,729.84925,731.79504,883.08484,-729.84925,,,,,0.021934116700883653,0.02192558,0.9817776301030928,0.98186963,1.0200422931369661,1.0200261
