parameter,display_name,n_values,weighted_mean,weighted_sd,q025,q160,q500,q840,q975,working_lock_value,mean_minus_working_lock,median_minus_working_lock,prior_min,prior_max,within_prior_minmax
deu_damping_envelope_beta,beta,4000,0.02949121724807528,0.0005524725209021037,0.028567552,0.028849905,0.029503285,0.030128599,0.030423268,0.03,-0.0005087827519247197,-0.0004967149999999983,0.0285,0.0305,True
deu_transfer_polamp_p_vis,p_vis,4000,1.0474182267750214,0.001318023057604206,1.0452071,1.0459375,1.0473475,1.048932,1.0498123,1.0475,-8.177322497870954e-05,-0.00015249999999999986,1.045,1.05,True
omega_b,omega_b,4000,0.021980020954662106,4.953628242491131e-05,0.021905925,0.021927323,0.021972856,0.0220347,0.022084005,0.022,-1.9979045337892992e-05,-2.714399999999978e-05,0.0219,0.0221,True
n_s,n_s,4000,0.9815232201591104,0.0005680687805706126,0.98056612,0.98086835,0.9815207,0.98217567,0.98247175,0.981875,-0.0003517798408896322,-0.0003543000000000296,0.9805,0.9825,True
A_planck,A_planck,4000,1.0250557243798117,0.0008464612795648388,1.0233787,1.0242044,1.0250715,1.0259026,1.0267361,1.025,5.572437981182787e-05,7.150000000000212e-05,1.02,1.03,True
