display_name,max,min,n_values,parameter,prior_max,prior_min,q025,q160,q500,q840,q975,weighted_mean,weighted_sd,within_prior_minmax
omega_b,0.022056177,0.021900159,4000,omega_b,0.0221,0.0219,0.021901227,0.021907334,0.02192558,0.021965164,0.022004661,0.021934116700883653,2.8648401127727596e-05,True
n_s,0.98249963,0.98050073,4000,n_s,0.9825,0.9805,0.98069323,0.98117982,0.98186963,0.98230608,0.98247019,0.9817776301030928,0.000515600514952671,True
A_planck,1.0250552,1.02,4000,A_planck,1.03,1.02,1.0200007,1.0200057,1.0200261,1.02007,1.0201416,1.0200422931369661,0.00012027435537001794,True
