parameter,n_values,min,max,mean,span,unique_rounded_12,motion_recorded,prior_min,prior_max,within_prior
deu_damping_envelope_beta,4000,0.028503605,0.030499613,0.02949433190075,0.001996007999999997,1396,True,0.0285,0.0305,True
deu_transfer_polamp_p_vis,4000,1.0450006,1.0499778,1.047410945125,0.004977199999999904,1368,True,1.045,1.05,True
omega_b,4000,0.021900233,0.022099565,0.021980328141,0.00019933199999999998,1393,True,0.0219,0.0221,True
n_s,4000,0.98050506,0.98249805,0.9815183232525,0.0019929899999999723,1390,True,0.9805,0.9825,True
A_planck,4000,1.0223195,1.028335,1.0250563802,0.0060154999999999514,3603,True,1.02,1.03,True
