anchor_label,A_planck,beta,deu_lensed_phase_profile,n_s,omega_b,p_vis,point_id,plik_TTTEEE_lite_loglike,lowl_plus_plik_TTTEEE_lite_loglike,lowl_plik_TTTEEE_lite_lensing_native_loglike,lowl_available_loglike,lensing_native_loglike
highl_anchor,1.025,0.029,2,0.98,0.02195,1.0475,g001_tri_anchor_pvis_guard_highl_anchor_b0.029_p1.0475_ob0.02195_ns0.98_A1.025_prof2,-382.09644863724304,-594.4816399067552,-603.9366549798966,-212.38519126951218,-9.455015073141412
lowl_plus_anchor,1.025,0.0295,2,0.98125,0.02195,1.0475,g004_tri_anchor_pvis_guard_lowl_plus_anchor_b0.0295_p1.0475_ob0.02195_ns0.98125_A1.025_prof2,-382.1830821680578,-594.3989892447191,-603.8525238512426,-212.21590707666138,-9.453534606523377
full_objective_working_lock,1.025,0.03,2,0.981875,0.022,1.0475,g007_tri_anchor_pvis_guard_full_objective_working_lock_b0.03_p1.0475_ob0.022_ns0.981875_A1.025_prof2,-382.30201119323436,-594.440004418515,-603.8280689556785,-212.1379932252806,-9.388064537163515
