parameter,n_values,min,max,mean,span,unique_rounded_12,motion_recorded,prior_min,prior_max,within_prior
omega_b,4000,0.021900159,0.022056177,0.02193528122575,0.00015601800000000082,1181,True,0.0219,0.0221,True
n_s,4000,0.98050073,0.98249963,0.98176250008,0.0019988999999999146,1183,True,0.9805,0.9825,True
A_planck,4000,1.02,1.0250552,1.020052987475,0.005055199999999926,1239,True,1.02,1.03,True
