estimator_id,deu_status,native_status,deu_log_evidence_crosscheck,native_log_evidence_crosscheck,log_bayes_factor_crosscheck_deu_minus_native,estimator_kind,claim_status
formal_laplace_full_covariance_crosscheck,success,success,-576.0487181192134,-734.8127651694195,158.76404705020616,formal_chain_laplace_crosscheck_not_final_evidence,formal_crosscheck_executed_result_gate_required
formal_laplace_diagonal_covariance_crosscheck,success,success,-575.9879789226188,-734.8117892601123,158.82381033749346,formal_chain_laplace_crosscheck_not_final_evidence,formal_crosscheck_executed_result_gate_required
formal_laplace_iqr_diagonal_crosscheck,success,success,-575.4904873259516,-736.0337111372927,160.54322381134114,formal_chain_laplace_crosscheck_not_final_evidence,formal_crosscheck_executed_result_gate_required
