parameter,n_values,min,max,mean,span,unique_rounded_12,motion_recorded,prior_min,prior_max,within_prior
deu_damping_envelope_beta,192,0.028504133,0.030432206,0.029524192515625002,0.001928072999999999,93,True,0.0285,0.0305,True
deu_transfer_polamp_p_vis,192,1.0450925,1.0499511,1.0481000041666666,0.004858599999999935,93,True,1.045,1.05,True
omega_b,192,0.021902073,0.022096185,0.021970708000000002,0.00019411199999999976,93,True,0.0219,0.0221,True
n_s,192,0.9805343,0.9824795,0.98182039265625,0.0019451999999999803,93,True,0.9805,0.9825,True
A_planck,192,1.0228912,1.0276244,1.0251540536458335,0.004733200000000215,136,True,1.02,1.03,True
