parameter,n_values,min,max,mean,span,unique_rounded_12,motion_recorded,prior_min,prior_max,within_prior
deu_damping_envelope_beta,2000,0.028515852,0.030499613,0.02954415688,0.001983760999999997,664,True,0.0285,0.0305,True
deu_transfer_polamp_p_vis,2000,1.0450006,1.0499778,1.04728961505,0.004977199999999904,656,True,1.045,1.05,True
omega_b,2000,0.021900248,0.022094211,0.0219755292855,0.0001939629999999984,663,True,0.0219,0.0221,True
n_s,2000,0.98050565,0.98249805,0.981516981245,0.0019924000000000053,661,True,0.9805,0.9825,True
A_planck,2000,1.0223195,1.028335,1.02503643945,0.0060154999999999514,1887,True,1.02,1.03,True
