chain_file,n_rows,n_columns,all_numeric_finite,minuslogpost_min,minuslogpost_max,weight_sum,weight_max
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,2000,13,True,729.97341,865.55804,3354.0,14.0
/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,2000,13,True,729.84925,883.08484,3436.0,22.0
