quantity,value,scope
deu_log_evidence_independent_validation,-542.2974790661433,internal/preprint evidence lineage with caveats
native_log_evidence_independent_validation,-711.3038876870044,internal/preprint evidence lineage with caveats
log_bayes_factor_independent_validation_deu_minus_native,169.00640862086107,internal/preprint evidence lineage with caveats
formal_log_bayes_factor_lineage,158.76404705020616,internal/preprint evidence lineage with caveats
proxy_log_bayes_factor_lineage,158.76404705020616,internal/preprint evidence lineage with caveats
