family,chain_file,n_rows,all_values_finite,columns
deu,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.1.txt,2000,True,"[""weight"", ""minuslogpost"", ""deu_damping_envelope_beta"", ""deu_transfer_polamp_p_vis"", ""omega_b"", ""n_s"", ""A_planck"", ""chi2__CMB"", ""minuslogprior"", ""minuslogprior__0"", ""chi2"", ""chi2__planck_2018_highl_plik.TTTEEE_lite"", ""chi2__planck_2018_lowl.TT"", ""chi2__planck_2018_lowl.EE"", ""chi2__planck_2018_lensing.native""]"
deu,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.1.txt,2000,True,"[""weight"", ""minuslogpost"", ""deu_damping_envelope_beta"", ""deu_transfer_polamp_p_vis"", ""omega_b"", ""n_s"", ""A_planck"", ""chi2__CMB"", ""minuslogprior"", ""minuslogprior__0"", ""chi2"", ""chi2__planck_2018_highl_plik.TTTEEE_lite"", ""chi2__planck_2018_lowl.TT"", ""chi2__planck_2018_lowl.EE"", ""chi2__planck_2018_lensing.native""]"
native,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.1.txt,2000,True,"[""weight"", ""minuslogpost"", ""omega_b"", ""n_s"", ""A_planck"", ""chi2__CMB"", ""minuslogprior"", ""minuslogprior__0"", ""chi2"", ""chi2__planck_2018_highl_plik.TTTEEE_lite"", ""chi2__planck_2018_lowl.TT"", ""chi2__planck_2018_lowl.EE"", ""chi2__planck_2018_lensing.native""]"
native,/home/merwijas/deu_class/CLASS-DEU/deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.1.txt,2000,True,"[""weight"", ""minuslogpost"", ""omega_b"", ""n_s"", ""A_planck"", ""chi2__CMB"", ""minuslogprior"", ""minuslogprior__0"", ""chi2"", ""chi2__planck_2018_highl_plik.TTTEEE_lite"", ""chi2__planck_2018_lowl.TT"", ""chi2__planck_2018_lowl.EE"", ""chi2__planck_2018_lensing.native""]"
