likelihood,objective,native_minus_deu_chi2,native_minus_deu_highl_chi2
TTTEEE_lite,posterior_profile,-1151.0725,-1096.62478
TTTEEE_lite,likelihood_profile,-1151.0548,-1096.61851
full TTTEEE,posterior_profile,-1178.2747,-1123.8227
full TTTEEE,likelihood_profile,-1159.4993,-1105.0499
