point,objective,native_minus_deu_highl_chi2,native_minus_deu_chi2
map,posterior_profile,250.3608,238.859
map,likelihood_profile,218.051,206.5493
mean,posterior_profile,254.4449,242.8467
mean,likelihood_profile,222.505,210.9068
