config,likelihood_key,contains_lite,contains_planck,contains_desi,contains_pantheon
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,planck_2018_lowl.TT,False,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,planck_2018_lowl.EE,False,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,planck_2018_lensing.native,False,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,planck_2018_lowl.TT,False,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,planck_2018_lowl.EE,False,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,planck_2018_lensing.native,False,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,planck_2018_lowl.TT,False,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,planck_2018_lowl.EE,False,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,planck_2018_lensing.native,False,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,planck_2018_highl_plik.TTTEEE_lite,True,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,planck_2018_lowl.TT,False,True,False,False
deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,planck_2018_lowl.EE,False,True,False,False
