likelihood_kind,objective,A_planck_prior_min,A_planck_prior_max,deu_A_planck,native_A_planck,deu_A_planck_ref_start_selected,native_A_planck_ref_start_selected,deu_exit_status,native_exit_status,deu_deu_damping_envelope_beta,native_deu_damping_envelope_beta,deu_deu_transfer_polamp_p_vis,native_deu_transfer_polamp_p_vis,deu_omega_b,native_omega_b,deu_n_s,native_n_s,deu_chi2,native_chi2,native_minus_deu_chi2,minusloglike_gap_from_chi2,deu_chi2__CMB,native_chi2__CMB,native_minus_deu_chi2__CMB,minusloglike_gap_from_chi2__CMB,deu_chi2__planck_2018_highl_plik.TTTEEE_lite,native_chi2__planck_2018_highl_plik.TTTEEE_lite,native_minus_deu_chi2__planck_2018_highl_plik.TTTEEE_lite,minusloglike_gap_from_chi2__planck_2018_highl_plik.TTTEEE_lite,deu_chi2__planck_2018_lensing.native,native_chi2__planck_2018_lensing.native,native_minus_deu_chi2__planck_2018_lensing.native,minusloglike_gap_from_chi2__planck_2018_lensing.native,deu_chi2__planck_2018_lowl.EE,native_chi2__planck_2018_lowl.EE,native_minus_deu_chi2__planck_2018_lowl.EE,minusloglike_gap_from_chi2__planck_2018_lowl.EE,deu_chi2__planck_2018_lowl.TT,native_chi2__planck_2018_lowl.TT,native_minus_deu_chi2__planck_2018_lowl.TT,minusloglike_gap_from_chi2__planck_2018_lowl.TT,deu_minuslogpost,native_minuslogpost,native_minus_deu_minuslogpost,deu_minuslogprior,native_minuslogprior,native_minus_deu_minuslogprior,deu_chi2__planck_2018_highl_plik.TTTEEE,native_chi2__planck_2018_highl_plik.TTTEEE,native_minus_deu_chi2__planck_2018_highl_plik.TTTEEE,minusloglike_gap_from_chi2__planck_2018_highl_plik.TTTEEE
lite,posterior_profile,0.98,1.03,1.025,1.0030895,1.025,1.025,0,0,0.03,,1.048,,0.022,0.022053243,0.981875,0.9805,1207.6419,1050.9185,-156.72340000000008,-78.36170000000004,1207.6419,1050.9185,-156.72340000000008,-78.36170000000004,764.53701,624.19109,-140.34591999999998,-70.17295999999999,18.828606,10.140182,-8.688424000000001,-4.344212000000001,397.85111,395.98828,-1.8628300000000309,-0.9314150000000154,26.425127,20.598975,-5.826152,-2.913076,574.58047,507.73173,-66.84873999999996,-29.240459,-17.727534,11.512925000000003,,,,
lite,likelihood_profile,0.98,1.03,1.024793,1.0030895,1.0,1.025,0,0,0.0305,,1.0477845,,0.021943782,0.022053243,0.98147277,0.9805,1207.6162,1050.9185,-156.69769999999994,-78.34884999999997,1207.6162,1050.9185,-156.69769999999994,-78.34884999999997,764.43121,624.19109,-140.24011999999993,-70.12005999999997,18.781249,10.140182,-8.641067,-4.3205335,397.84307,395.98828,-1.8547900000000368,-0.9273950000000184,26.560659,20.598975,-5.961684000000002,-2.980842000000001,574.56764,507.73173,-66.83590999999996,-29.240459,-17.727534,11.512925000000003,,,,
full,posterior_profile,0.98,1.03,1.0248534,1.0030577,1.025,1.025,0,0,0.030445988,,1.0471359,,0.021969001,0.022011778,0.98211875,0.9805,2971.916,2810.7912,-161.12480000000005,-80.56240000000003,2971.916,2810.7912,-161.12480000000005,-80.56240000000003,,,,,18.754461,10.174866,-8.579595,-4.2897975,397.8376,396.04085,-1.7967500000000314,-0.8983750000000157,26.384703,20.597333,-5.787369999999999,-2.8936849999999996,1482.4812,1413.0459,-69.43529999999987,-3.4767651,7.6502943,11.1270594,2528.9393,2383.9782,-144.9611,-72.48055
full,likelihood_profile,0.98,1.03,1.0254349,1.0038219,1.025,1.0,0,0,0.0305,,1.0473377,,0.021901487,0.02205385,0.98239488,0.9805,2962.6087,2808.4619,-154.14680000000044,-77.07340000000022,2962.6087,2808.4619,-154.14680000000044,-77.07340000000022,,,,,18.501239,10.053596,-8.447643000000001,-4.223821500000001,397.84712,395.98631,-1.860810000000015,-0.9304050000000075,26.195492,20.546395,-5.649097000000001,-2.8245485000000006,1520.6027,1453.3242,-67.2784999999999,39.298354,49.093203,9.794849,2520.0649,2381.8756,-138.1893,-69.09465
