comparison,method,branch_a,branch_b,A_a,A_b,logZ_a,logZ_b,logBF_a_minus_b,minuslogpost_min_a,minuslogpost_min_b,minuslogpost_gap_b_minus_a,mean_minuslogpost_a,mean_minuslogpost_b,mean_gap_b_minus_a_minuslogpost,map_minuslogpost_a,map_minuslogpost_b,map_gap_b_minus_a_minuslogpost,mean_minuslogprior_a,mean_minuslogprior_b,mean_gap_b_minus_a_minuslogprior,map_minuslogprior_a,map_minuslogprior_b,map_gap_b_minus_a_minuslogprior,mean_chi2_a,mean_chi2_b,mean_gap_b_minus_a_chi2,map_chi2_a,map_chi2_b,map_gap_b_minus_a_chi2,mean_chi2__CMB_a,mean_chi2__CMB_b,mean_gap_b_minus_a_chi2__CMB,map_chi2__CMB_a,map_chi2__CMB_b,map_gap_b_minus_a_chi2__CMB,mean_chi2__planck_2018_highl_plik.TTTEEE_lite_a,mean_chi2__planck_2018_highl_plik.TTTEEE_lite_b,mean_gap_b_minus_a_chi2__planck_2018_highl_plik.TTTEEE_lite,map_chi2__planck_2018_highl_plik.TTTEEE_lite_a,map_chi2__planck_2018_highl_plik.TTTEEE_lite_b,map_gap_b_minus_a_chi2__planck_2018_highl_plik.TTTEEE_lite,mean_chi2__planck_2018_lowl.TT_a,mean_chi2__planck_2018_lowl.TT_b,mean_gap_b_minus_a_chi2__planck_2018_lowl.TT,map_chi2__planck_2018_lowl.TT_a,map_chi2__planck_2018_lowl.TT_b,map_gap_b_minus_a_chi2__planck_2018_lowl.TT,mean_chi2__planck_2018_lowl.EE_a,mean_chi2__planck_2018_lowl.EE_b,mean_gap_b_minus_a_chi2__planck_2018_lowl.EE,map_chi2__planck_2018_lowl.EE_a,map_chi2__planck_2018_lowl.EE_b,map_gap_b_minus_a_chi2__planck_2018_lowl.EE,mean_chi2__planck_2018_lensing.native_a,mean_chi2__planck_2018_lensing.native_b,mean_gap_b_minus_a_chi2__planck_2018_lensing.native,map_chi2__planck_2018_lensing.native_a,map_chi2__planck_2018_lensing.native_b,map_gap_b_minus_a_chi2__planck_2018_lensing.native,mean_deu_damping_envelope_beta_a,mean_deu_damping_envelope_beta_b,near_low_deu_damping_envelope_beta_a,near_high_deu_damping_envelope_beta_a,near_low_deu_damping_envelope_beta_b,near_high_deu_damping_envelope_beta_b,mean_deu_transfer_polamp_p_vis_a,mean_deu_transfer_polamp_p_vis_b,near_low_deu_transfer_polamp_p_vis_a,near_high_deu_transfer_polamp_p_vis_a,near_low_deu_transfer_polamp_p_vis_b,near_high_deu_transfer_polamp_p_vis_b,mean_omega_b_a,mean_omega_b_b,near_low_omega_b_a,near_high_omega_b_a,near_low_omega_b_b,near_high_omega_b_b,mean_n_s_a,mean_n_s_b,near_low_n_s_a,near_high_n_s_a,near_low_n_s_b,near_high_n_s_b
Aexact_41over40_minus_Aposterior_1p02505572438,full_covariance_laplace,Aexact_41over40,Aposterior_1p02505572438,1.025,1.02505572438,-605.2796943780609,-605.3492997164919,0.06960533843107441,577.45368,577.46769,0.014009999999984757,578.0894305216726,578.0558825591651,-0.033547962507554985,577.45368,577.46769,0.014009999999984757,-26.244727000000005,-26.244727000000008,-3.552713678800501e-15,-26.244727,-26.244727,0.0,1208.66831463601,1208.6012186902835,-0.06709594572657807,1207.3968,1207.4248,0.02800000000002001,1208.66831463601,1208.6012186902835,-0.06709594572657807,1207.3968,1207.4248,0.02800000000002001,765.4159917254793,765.3772314802293,-0.038760245250045955,764.27032,764.36382,0.09350000000006276,26.52373476555988,26.5262052048361,0.0024704392762195937,26.530867,26.359117,-0.1717499999999994,397.842568741317,397.8420125775393,-0.0005561637776736461,397.82867,397.85086,0.022190000000023247,18.886018960683522,18.855769232764956,-0.03024972791856584,18.766947,18.85104,0.08409300000000286,0.029588384274520697,0.02953328781758048,0.007432620172270075,0.013684356765768268,0.00705571071586065,0.007864177568719682,1.0475328700125033,1.047464555100691,0.0037510419560989163,0.0066685190330647405,0.006614728796119359,0.004630310157283551,0.02198131200465407,0.021978927070483614,0.012781328146707419,0.001180883578771881,0.006247243863001617,0.0011024547993532265,0.9814885676298971,0.9814386241650741,0.011739372047791054,0.009724923589886079,0.011392032926650007,0.006026752903130972
Aexact_41over40_minus_Aposterior_1p02505572438,diagonal_covariance_laplace,Aexact_41over40,Aposterior_1p02505572438,1.025,1.02505572438,-605.2674866714427,-605.3237486891326,0.05626201768984629,577.45368,577.46769,0.014009999999984757,578.0894305216726,578.0558825591651,-0.033547962507554985,577.45368,577.46769,0.014009999999984757,-26.244727000000005,-26.244727000000008,-3.552713678800501e-15,-26.244727,-26.244727,0.0,1208.66831463601,1208.6012186902835,-0.06709594572657807,1207.3968,1207.4248,0.02800000000002001,1208.66831463601,1208.6012186902835,-0.06709594572657807,1207.3968,1207.4248,0.02800000000002001,765.4159917254793,765.3772314802293,-0.038760245250045955,764.27032,764.36382,0.09350000000006276,26.52373476555988,26.5262052048361,0.0024704392762195937,26.530867,26.359117,-0.1717499999999994,397.842568741317,397.8420125775393,-0.0005561637776736461,397.82867,397.85086,0.022190000000023247,18.886018960683522,18.855769232764956,-0.03024972791856584,18.766947,18.85104,0.08409300000000286,0.029588384274520697,0.02953328781758048,0.007432620172270075,0.013684356765768268,0.00705571071586065,0.007864177568719682,1.0475328700125033,1.047464555100691,0.0037510419560989163,0.0066685190330647405,0.006614728796119359,0.004630310157283551,0.02198131200465407,0.021978927070483614,0.012781328146707419,0.001180883578771881,0.006247243863001617,0.0011024547993532265,0.9814885676298971,0.9814386241650741,0.011739372047791054,0.009724923589886079,0.011392032926650007,0.006026752903130972
Aexact_41over40_minus_Aposterior_1p02505572438,iqr_diagonal_laplace,Aexact_41over40,Aposterior_1p02505572438,1.025,1.02505572438,-604.6749795461786,-604.7816927165236,0.10671317034496042,577.45368,577.46769,0.014009999999984757,578.0894305216726,578.0558825591651,-0.033547962507554985,577.45368,577.46769,0.014009999999984757,-26.244727000000005,-26.244727000000008,-3.552713678800501e-15,-26.244727,-26.244727,0.0,1208.66831463601,1208.6012186902835,-0.06709594572657807,1207.3968,1207.4248,0.02800000000002001,1208.66831463601,1208.6012186902835,-0.06709594572657807,1207.3968,1207.4248,0.02800000000002001,765.4159917254793,765.3772314802293,-0.038760245250045955,764.27032,764.36382,0.09350000000006276,26.52373476555988,26.5262052048361,0.0024704392762195937,26.530867,26.359117,-0.1717499999999994,397.842568741317,397.8420125775393,-0.0005561637776736461,397.82867,397.85086,0.022190000000023247,18.886018960683522,18.855769232764956,-0.03024972791856584,18.766947,18.85104,0.08409300000000286,0.029588384274520697,0.02953328781758048,0.007432620172270075,0.013684356765768268,0.00705571071586065,0.007864177568719682,1.0475328700125033,1.047464555100691,0.0037510419560989163,0.0066685190330647405,0.006614728796119359,0.004630310157283551,0.02198131200465407,0.021978927070483614,0.012781328146707419,0.001180883578771881,0.006247243863001617,0.0011024547993532265,0.9814885676298971,0.9814386241650741,0.011739372047791054,0.009724923589886079,0.011392032926650007,0.006026752903130972
Aexact_41over40_minus_Acontinuum_1p00000000000,full_covariance_laplace,Aexact_41over40,Acontinuum_1p00000000000,1.025,1.0,-605.2796943780609,-1116.7424077029177,511.46271332485685,577.45368,1083.2361,505.7824200000001,578.0894305216726,1086.7636922635509,508.67426174187824,577.45368,1083.2361,505.7824200000001,-26.244727000000005,-26.244727,3.552713678800501e-15,-26.244727,-26.244727,0.0,1208.66831463601,2226.0168393286785,1017.3485246926684,1207.3968,2218.9617,1011.5648999999999,1208.66831463601,2226.0168393286785,1017.3485246926684,1207.3968,2218.9617,1011.5648999999999,765.4159917254793,1743.7310807452986,978.3150890198193,764.27032,1736.7434,972.4730800000001,26.52373476555988,32.380636744987555,5.8569019794276755,26.530867,32.465872,5.935004999999997,397.842568741317,397.88234378145745,0.039775040140455076,397.82867,397.88703,0.058359999999993306,18.886018960683522,52.02277688191372,33.1367579212302,18.766947,51.865454,33.098507,0.029588384274520697,0.030421344725940266,0.007432620172270075,0.013684356765768268,0.0,0.20965846238938052,1.0475328700125033,1.0452258272711559,0.0037510419560989163,0.0066685190330647405,0.2246266592920354,0.0,0.02198131200465407,0.022082269869849284,0.012781328146707419,0.001180883578771881,0.0,0.08649059734513274,0.9814885676298971,0.9807261154120576,0.011739372047791054,0.009724923589886079,0.08431277654867257,0.0
Aexact_41over40_minus_Acontinuum_1p00000000000,diagonal_covariance_laplace,Aexact_41over40,Acontinuum_1p00000000000,1.025,1.0,-605.2674866714427,-1116.7277430794527,511.46025640800997,577.45368,1083.2361,505.7824200000001,578.0894305216726,1086.7636922635509,508.67426174187824,577.45368,1083.2361,505.7824200000001,-26.244727000000005,-26.244727,3.552713678800501e-15,-26.244727,-26.244727,0.0,1208.66831463601,2226.0168393286785,1017.3485246926684,1207.3968,2218.9617,1011.5648999999999,1208.66831463601,2226.0168393286785,1017.3485246926684,1207.3968,2218.9617,1011.5648999999999,765.4159917254793,1743.7310807452986,978.3150890198193,764.27032,1736.7434,972.4730800000001,26.52373476555988,32.380636744987555,5.8569019794276755,26.530867,32.465872,5.935004999999997,397.842568741317,397.88234378145745,0.039775040140455076,397.82867,397.88703,0.058359999999993306,18.886018960683522,52.02277688191372,33.1367579212302,18.766947,51.865454,33.098507,0.029588384274520697,0.030421344725940266,0.007432620172270075,0.013684356765768268,0.0,0.20965846238938052,1.0475328700125033,1.0452258272711559,0.0037510419560989163,0.0066685190330647405,0.2246266592920354,0.0,0.02198131200465407,0.022082269869849284,0.012781328146707419,0.001180883578771881,0.0,0.08649059734513274,0.9814885676298971,0.9807261154120576,0.011739372047791054,0.009724923589886079,0.08431277654867257,0.0
Aexact_41over40_minus_Acontinuum_1p00000000000,iqr_diagonal_laplace,Aexact_41over40,Acontinuum_1p00000000000,1.025,1.0,-604.6749795461786,-1117.5284119609767,512.853432414798,577.45368,1083.2361,505.7824200000001,578.0894305216726,1086.7636922635509,508.67426174187824,577.45368,1083.2361,505.7824200000001,-26.244727000000005,-26.244727,3.552713678800501e-15,-26.244727,-26.244727,0.0,1208.66831463601,2226.0168393286785,1017.3485246926684,1207.3968,2218.9617,1011.5648999999999,1208.66831463601,2226.0168393286785,1017.3485246926684,1207.3968,2218.9617,1011.5648999999999,765.4159917254793,1743.7310807452986,978.3150890198193,764.27032,1736.7434,972.4730800000001,26.52373476555988,32.380636744987555,5.8569019794276755,26.530867,32.465872,5.935004999999997,397.842568741317,397.88234378145745,0.039775040140455076,397.82867,397.88703,0.058359999999993306,18.886018960683522,52.02277688191372,33.1367579212302,18.766947,51.865454,33.098507,0.029588384274520697,0.030421344725940266,0.007432620172270075,0.013684356765768268,0.0,0.20965846238938052,1.0475328700125033,1.0452258272711559,0.0037510419560989163,0.0066685190330647405,0.2246266592920354,0.0,0.02198131200465407,0.022082269869849284,0.012781328146707419,0.001180883578771881,0.0,0.08649059734513274,0.9814885676298971,0.9807261154120576,0.011739372047791054,0.009724923589886079,0.08431277654867257,0.0
