point,objective,deu_exit_status,native_exit_status,deu_chi2,native_chi2,native_minus_deu_chi2,minusloglike_gap_from_chi2,deu_chi2__CMB,native_chi2__CMB,native_minus_deu_chi2__CMB,minusloglike_gap_from_chi2__CMB,deu_chi2__planck_2018_highl_plik.TTTEEE,native_chi2__planck_2018_highl_plik.TTTEEE,native_minus_deu_chi2__planck_2018_highl_plik.TTTEEE,minusloglike_gap_from_chi2__planck_2018_highl_plik.TTTEEE,deu_chi2__planck_2018_lensing.native,native_chi2__planck_2018_lensing.native,native_minus_deu_chi2__planck_2018_lensing.native,minusloglike_gap_from_chi2__planck_2018_lensing.native,deu_chi2__planck_2018_lowl.EE,native_chi2__planck_2018_lowl.EE,native_minus_deu_chi2__planck_2018_lowl.EE,minusloglike_gap_from_chi2__planck_2018_lowl.EE,deu_chi2__planck_2018_lowl.TT,native_chi2__planck_2018_lowl.TT,native_minus_deu_chi2__planck_2018_lowl.TT,minusloglike_gap_from_chi2__planck_2018_lowl.TT,deu_minuslogpost,native_minuslogpost,native_minus_deu_minuslogpost,deu_minuslogprior,native_minuslogprior,native_minus_deu_minuslogprior
map,posterior_profile,0,0,2968.1833,3207.0423,238.85899999999992,119.42949999999996,2968.1833,3207.0423,238.85899999999992,119.42949999999996,2524.9514,2775.3122,250.36079999999993,125.18039999999996,18.805833,15.960124,-2.8457089999999994,-1.4228544999999997,397.8372,395.99407,-1.8431299999999737,-0.9215649999999869,26.588767,19.775841,-6.812926000000001,-3.4064630000000005,1509.3009,1654.4526,145.15170000000012,25.209276,50.931464,25.722188
map,likelihood_profile,0,0,2960.9668,3167.5161,206.54929999999968,103.27464999999984,2960.9668,3167.5161,206.54929999999968,103.27464999999984,2517.735,2735.786,218.05099999999993,109.02549999999997,18.805833,15.960124,-2.8457089999999994,-1.4228544999999997,397.8372,395.99407,-1.8431299999999737,-0.9215649999999869,26.588767,19.775841,-6.812926000000001,-3.4064630000000005,1545.775,1699.8201,154.04509999999982,65.29156,116.06202,50.77046
mean,posterior_profile,0,0,2968.0396,3210.8863,242.84670000000006,121.42335000000003,2968.0396,3210.8863,242.84670000000006,121.42335000000003,2524.7923,2779.2372,254.44489999999996,127.22244999999998,18.869631,15.89767,-2.9719609999999985,-1.4859804999999993,397.87563,395.96794,-1.9076900000000023,-0.9538450000000012,26.50205,19.78351,-6.718540000000001,-3.3592700000000004,1509.0994,1656.7596,147.66020000000003,25.079573,51.316478,26.236904999999997
mean,likelihood_profile,0,0,2961.0137,3171.9205,210.9068000000002,105.4534000000001,2961.0137,3171.9205,210.9068000000002,105.4534000000001,2517.7664,2740.2714,222.5050000000001,111.25250000000005,18.869631,15.89767,-2.9719609999999985,-1.4859804999999993,397.87563,395.96794,-1.9076900000000023,-0.9538450000000012,26.50205,19.78351,-6.718540000000001,-3.3592700000000004,1541.6251,1701.7755,160.1504,61.118253,115.81519,54.696937
