likelihood_kind,objective,A_planck_fixed,deu_exit_status,native_exit_status,deu_chi2,native_chi2,native_minus_deu_chi2,minusloglike_gap_from_chi2,deu_chi2__CMB,native_chi2__CMB,native_minus_deu_chi2__CMB,minusloglike_gap_from_chi2__CMB,deu_chi2__planck_2018_highl_plik.TTTEEE_lite,native_chi2__planck_2018_highl_plik.TTTEEE_lite,native_minus_deu_chi2__planck_2018_highl_plik.TTTEEE_lite,minusloglike_gap_from_chi2__planck_2018_highl_plik.TTTEEE_lite,deu_chi2__planck_2018_lensing.native,native_chi2__planck_2018_lensing.native,native_minus_deu_chi2__planck_2018_lensing.native,minusloglike_gap_from_chi2__planck_2018_lensing.native,deu_chi2__planck_2018_lowl.EE,native_chi2__planck_2018_lowl.EE,native_minus_deu_chi2__planck_2018_lowl.EE,minusloglike_gap_from_chi2__planck_2018_lowl.EE,deu_chi2__planck_2018_lowl.TT,native_chi2__planck_2018_lowl.TT,native_minus_deu_chi2__planck_2018_lowl.TT,minusloglike_gap_from_chi2__planck_2018_lowl.TT,deu_minuslogpost,native_minuslogpost,native_minus_deu_minuslogpost,deu_minuslogprior,native_minuslogprior,native_minus_deu_minuslogprior,deu_chi2__planck_2018_highl_plik.TTTEEE,native_chi2__planck_2018_highl_plik.TTTEEE,native_minus_deu_chi2__planck_2018_highl_plik.TTTEEE,minusloglike_gap_from_chi2__planck_2018_highl_plik.TTTEEE
lite,posterior_profile,1.0,0,0,2217.6277,1066.5552,-1151.0725,-575.53625,2217.6277,1066.5552,-1151.0725,-575.53625,1735.4748,638.85002,-1096.62478,-548.31239,51.797056,10.83536,-40.961695999999996,-20.480847999999998,397.88703,396.02782,-1.8592099999999618,-0.9296049999999809,32.468787,20.842013,-11.626773999999997,-5.813386999999999,1082.5691,518.54581,-564.02329,-26.244727,-14.731801,11.512926,,,,
lite,likelihood_profile,1.0,0,0,2217.6277,1066.5729,-1151.0548000000001,-575.5274000000001,2217.6277,1066.5729,-1151.0548000000001,-575.5274000000001,1735.4748,638.85629,-1096.61851,-548.309255,51.797056,10.838419,-40.958636999999996,-20.479318499999998,397.88703,396.03674,-1.8502899999999727,-0.9251449999999863,32.468787,20.841493,-11.627294,-5.813647,1082.5691,518.55467,-564.01443,-26.244727,-14.731801,11.512926,,,,
full,posterior_profile,1.0,0,0,4000.8248,2822.5501,-1178.2747,-589.13735,4000.8248,2822.5501,-1178.2747,-589.13735,,,,,51.797056,10.829802,-40.967254,-20.483627,397.88703,396.02782,-1.8592099999999618,-0.9296049999999809,32.468787,20.843215,-11.625571999999998,-5.812785999999999,2024.1272,1422.591,-601.5362,23.714795,11.315939,-12.398855999999999,3518.6719,2394.8492,-1123.8226999999997,-561.9113499999999
full,likelihood_profile,1.0,0,0,3978.2394,2818.7401,-1159.4993,-579.74965,3978.2394,2818.7401,-1159.4993,-579.74965,,,,,51.794714,10.829802,-40.964912,-20.482456,397.88703,396.02782,-1.8592099999999618,-0.9296049999999809,32.468428,20.843215,-11.625213000000002,-5.812606500000001,2051.6925,1480.848,-570.8445000000002,62.572789,71.477995,8.905206000000007,3496.0892,2391.0393,-1105.0499,-552.52495
